,Base Model,Fit Method,n_epoch,lr_max,div,patience,item_tfms,batch_tfms,F1 Score
0,densenet201,fine_tune,50,None -> None,25,1,Resize(224),None,0.0833333358168602
1,densenet201,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",None,0.0694444477558136
2,densenet201,fine_tune,50,None -> None,25,1,Resize(224),aug_transforms(),0.0694444477558136
3,densenet201,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",aug_transforms(),0.0694444477558136
4,densenet201,fine_tune,50,None -> None,25,1,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0833333358168602
5,densenet201,fine_tune,50,None -> None,25,1,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0694444477558136
6,densenet201,fit_one_cycle,50,None -> None,25,1,Resize(224),None,0.0833333358168602
7,densenet201,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",None,0.0694444477558136
8,densenet201,fit_one_cycle,50,None -> None,25,1,Resize(224),aug_transforms(),0.0694444477558136
9,densenet201,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')",aug_transforms(),0.0694444477558136
10,densenet201,fit_one_cycle,50,None -> None,25,1,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0833333358168602
11,densenet201,fit_one_cycle,50,None -> None,25,1,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0555555559694767
12,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0004786300996784121,25,3,Resize(224),None,0.1944444477558136
13,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0005754399462603033,25,3,"Resize(224, pad_mode='zeros')",None,0.2083333283662796
14,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0012022644514217973,25,3,Resize(224),aug_transforms(),0.1944444477558136
15,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0003981071640737355,25,3,"Resize(224, pad_mode='zeros')",aug_transforms(),0.1944444477558136
16,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0010000000474974513,25,3,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1666666716337204
17,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0004786300996784121,25,3,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1666666716337204
18,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0005754399462603033,10,3,Resize(224),None,0.1805555522441864
19,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0003981071640737355,10,3,"Resize(224, pad_mode='zeros')",None,0.125
20,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0002754228771664202,10,3,Resize(224),aug_transforms(),0.3611111044883728
21,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0008317637839354575,10,3,"Resize(224, pad_mode='zeros')",aug_transforms(),0.2083333283662796
22,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,10,3,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1944444477558136
23,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0010000000474974513,10,3,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1944444477558136
24,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0003311311302240938,25,10,Resize(224),None,0.1111111119389534
25,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0005754399462603033,25,10,"Resize(224, pad_mode='zeros')",None,0.0694444477558136
26,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0003981071640737355,25,10,Resize(224),aug_transforms(),0.125
27,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,25,10,"Resize(224, pad_mode='zeros')",aug_transforms(),0.1527777761220932
28,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0005754399462603033,25,10,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0972222238779068
29,densenet201,fit_one_cycle,50,lr_find().valley -> 0.0005754399462603033,25,10,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.0694444477558136
