,Base Model,Fit Method,n_epoch,lr_max,div,patience,item_tfms,batch_tfms,F1 Score
37,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0003981071640737355,10,3,"Resize(224, pad_mode='zeros')",None,0.25
38,resnet18,fit_one_cycle,50,lr_find().valley -> 0.001737800776027143,10,3,"Resize(450, pad_mode='zeros')",None,0.2083333283662796
39,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,10,3,"RandomResizedCrop(450, min_scale=0.75)",None,0.25
40,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0020892962347716093,10,3,Resize(224),aug_transforms(),0.3055555522441864
41,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0030199517495930195,10,3,"Resize(224, pad_mode='zeros')",aug_transforms(),0.3472222089767456
42,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0002754228771664202,10,3,"Resize(450, pad_mode='zeros')",aug_transforms(),0.3194444477558136
43,resnet18,fit_one_cycle,50,lr_find().valley -> 0.002511886414140463,10,3,"RandomResizedCrop(450, min_scale=0.75)",aug_transforms(),0.2361111044883728
44,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,10,3,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.2638888955116272
45,resnet18,fit_one_cycle,50,lr_find().valley -> 0.002511886414140463,10,3,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1666666716337204
46,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0006918309954926372,10,3,"Resize(450, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.4305555522441864
47,resnet18,fit_one_cycle,50,lr_find().valley -> 0.001737800776027143,10,3,"RandomResizedCrop(450, min_scale=0.75)","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.2638888955116272
48,resnet18,fit_one_cycle,50,lr_find().valley -> 0.001737800776027143,25,10,Resize(224),None,0.2083333283662796
49,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,25,10,"Resize(224, pad_mode='zeros')",None,0.2083333283662796
50,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,25,10,"Resize(450, pad_mode='zeros')",None,0.0972222238779068
51,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,25,10,"RandomResizedCrop(450, min_scale=0.75)",None,0.2083333283662796
52,resnet18,fit_one_cycle,50,lr_find().valley -> 0.001737800776027143,25,10,Resize(224),aug_transforms(),0.1388888955116272
53,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0006918309954926372,25,10,"Resize(224, pad_mode='zeros')",aug_transforms(),0.2083333283662796
54,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0012022644514217973,25,10,"Resize(450, pad_mode='zeros')",aug_transforms(),0.1666666716337204
55,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0020892962347716093,25,10,"RandomResizedCrop(450, min_scale=0.75)",aug_transforms(),0.2222222238779068
56,resnet18,fit_one_cycle,50,lr_find().valley -> 0.001737800776027143,25,10,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.2083333283662796
57,resnet18,fit_one_cycle,50,lr_find().valley -> 0.002511886414140463,25,10,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1805555522441864
58,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0012022644514217973,25,10,"Resize(450, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1944444477558136
59,resnet18,fit_one_cycle,50,lr_find().valley -> 0.0012022644514217973,25,10,"RandomResizedCrop(450, min_scale=0.75)","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.25
