,Base Model,Fit Method,n_epoch,lr_max,div,patience,item_tfms,batch_tfms,F1 Score
45,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0014454397605732083,10,3,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.2777777910232544
46,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0020892962347716093,10,3,"Resize(450, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.3194444477558136
47,resnet50,fit_one_cycle,50,lr_find().valley -> 0.001737800776027143,10,3,"RandomResizedCrop(450, min_scale=0.75)","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.4027777910232544
48,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0005754399462603033,25,10,Resize(224),None,0.1666666716337204
49,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0008317637839354575,25,10,"Resize(224, pad_mode='zeros')",None,0.2361111044883728
50,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0006918309954926372,25,10,"Resize(450, pad_mode='zeros')",None,0.2222222238779068
51,resnet50,fit_one_cycle,50,lr_find().valley -> 0.00363078061491251,25,10,"RandomResizedCrop(450, min_scale=0.75)",None,0.2222222238779068
52,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0020892962347716093,25,10,Resize(224),aug_transforms(),0.25
53,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0020892962347716093,25,10,"Resize(224, pad_mode='zeros')",aug_transforms(),0.1527777761220932
54,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0010000000474974513,25,10,"Resize(450, pad_mode='zeros')",aug_transforms(),0.1527777761220932
55,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0012022644514217973,25,10,"RandomResizedCrop(450, min_scale=0.75)",aug_transforms(),0.3055555522441864
56,resnet50,fit_one_cycle,50,lr_find().valley -> 0.002511886414140463,25,10,Resize(224),"[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.2361111044883728
57,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0006918309954926372,25,10,"Resize(224, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.2361111044883728
58,resnet50,fit_one_cycle,50,lr_find().valley -> 0.0063095735386013985,25,10,"Resize(450, pad_mode='zeros')","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1111111119389534
59,resnet50,fit_one_cycle,50,lr_find().valley -> 0.007585775572806597,25,10,"RandomResizedCrop(450, min_scale=0.75)","[*aug_transforms(size=224, max_warp=0.), Normalize.from_stats(*imagenet_stats)]",0.1805555522441864
